,parameter,alternative,Age,value
1,D_exp,0,all,3
2,D_pre,0,all,3.2
3,D_asym,0,all,3.5
4,D_sym,0,all,7
5,p,0,all,0.49
6,p,1,all,0.39
7,R0,0,all,2.5
8,R0,1,all,3
9,R0,2,all,2.25
10,v,0,all,0.00333333333333333
11,v,1,all,0.00166666666666667
12,sigma_asym,0,all,0.16
13,epsilon,0,[0-4],0.65
14,epsilon,0,[5-19],0.65
15,epsilon,0,[20-39],0.65
16,epsilon,0,[40-59],0.65
17,epsilon,0,[60-74],0.65
18,epsilon,0,[75-100],0.65
19,epsilon,1,[0-4],0.65
20,epsilon,1,[5-19],0.65
21,epsilon,1,[20-39],0.65
22,epsilon,1,[40-59],0.65
23,epsilon,1,[60-74],0.5
24,epsilon,1,[75-100],0.5
25,epsilon,2,[0-4],0.4
26,epsilon,2,[5-19],0.4
27,epsilon,2,[20-39],0.4
28,epsilon,2,[40-59],0.4
29,epsilon,2,[60-74],0.4
30,epsilon,2,[75-100],0.4
31,theta,0,all,0.75
32,theta,1,all,0.65
33,t_pre,0,all,0.51
34,t_asym,0,all,0.51
35,t_sym,0,all,1
36,I_sym(0),0,all,0.01
37,R(0),0,all,0.09
38,s,0,[0-4],1
39,s,0,[5-19],1
40,s,0,[20-39],1
41,s,0,[40-59],1
42,s,0,[60-74],1
43,s,0,[75-100],1
44,s,1,[0-4],0.5
45,s,1,[5-19],0.5
46,s,1,[20-39],1
47,s,1,[40-59],1
48,s,1,[60-74],1
49,s,1,[75-100],1
50,p_work,0,all,0.81
51,average_work,0,all,1.5
52,average_social,0,all,2.2
53,scaling_school,0,all,0.1
54,scaling_school,1,all,0.8
55,scaling_work,0,all,0.351947027723714
56,scaling_work,0,all,0.351947027723714
57,scaling_other,0,all,0.495954730683513
58,n,0,all,6
59,m,0,all,8
