Column1,Column49,variable,min,max,index,refined_min,refined_max
1,Deaths,Column1,0.0005,0.008363750495000991,1,1.0,1.0
2,Deaths,Column2,0.0005,0.007964943029267585,2,1.0,1.0
3,Deaths,Column3,0.0005,0.023392015271246465,3,1.0,1.0
4,Deaths,Column4,0.015891161850691306,0.4093008797438303,4,1.0,1.0
5,Deaths,Column5,0.0005,0.039536660110108424,5,1.0,1.0
6,Deaths,Column6,0.2035153293453273,0.8932453375131189,6,1.0,1.0
7,Deaths,Column7,0.0005,0.07063630738784867,7,1.0,1.0
8,Deaths,Column8,0.01,0.5562240745415348,8,1.0,1.0
9,Deaths,Column9,0.0005,0.04052437818184253,9,1.0,1.0
10,Deaths,Column10,0.0005,0.03922465008455218,10,1.0,1.0
11,Deaths,Column11,0.0005,0.08582238033891336,11,1.0,1.0
12,Deaths,Column12,0.0005,0.2568831841520771,12,1.0,1.0
13,Deaths,Column13,0.0005,0.05969173314480333,13,1.0,1.0
14,Deaths,Column14,0.0005,0.39795683073839094,14,1.0,1.0
15,Deaths,Column15,0.24419036954909934,0.99,15,1.0,1.0
16,Deaths,Column16,0.01,0.7205751737708546,16,1.0,1.0
17,Deaths,Column17,0.0005,0.05714502489064714,17,1.0,1.0
18,Deaths,Column18,0.0005,0.1797089654049459,18,1.0,1.0
19,Deaths,Column19,0.0005,0.379526491847887,19,1.0,1.0
20,Deaths,Column20,0.0005,0.371755267528849,20,1.0,1.0
21,Deaths,Column21,0.0005,0.5824132940958786,21,1.0,1.0
22,Deaths,Column22,0.0005,0.5345669008676827,22,1.0,1.0
23,Deaths,Column23,0.22371053067316168,0.995,23,1.0,1.0
24,Deaths,Column24,0.0005,0.13271953652203403,24,1.0,1.0
25,Deaths,Column25,0.01,0.8250461643949539,25,1.0,1.0
26,Deaths,Column26,0.01,0.936749774434483,26,1.0,1.0
27,Deaths,Column27,0.0005,0.4990784136872878,27,1.0,1.0
28,Deaths,Column28,0.01,0.5734860369475216,28,1.0,1.0
29,Deaths,Column29,0.01,0.99,29,1.0,1.0
30,Deaths,Column30,0.0005,0.602060857475853,30,1.0,1.0
31,Deaths,Column31,0.0005,0.4828119810557594,31,1.0,1.0
32,Deaths,Column32,0.0005,0.5782264522055345,32,1.0,1.0
33,Deaths,Column33,0.01,0.9538175519898273,33,1.0,1.0
34,Deaths,Column34,0.0005,0.99,34,1.0,1.0
35,Deaths,Column35,0.01,0.99,35,1.0,1.0
36,Deaths,Column36,0.01,0.99,36,1.0,1.0
37,Deaths,Column37,0.01,0.9840899754415833,37,1.0,1.0
38,Deaths,Column38,0.01,0.99,38,1.0,1.0
39,Deaths,Column39,0.01,0.99,39,1.0,1.0
40,Deaths,Column40,0.0005,0.99,40,1.0,1.0
41,Deaths,Column41,0.01,0.99,41,1.0,1.0
42,Deaths,Column42,0.01,0.99,42,1.0,1.0
43,Deaths,Column43,0.01,0.99,43,1.0,1.0
44,Deaths,Column44,0.01,0.99,44,1.0,1.0
45,Deaths,Column45,0.01,0.99,45,1.0,1.0
46,Deaths,Column46,0.01,0.99,46,1.0,1.0
47,Deaths,Column47,0.01,0.9538090503017016,47,1.0,1.0
48,Deaths,Column48,0.01,0.99,48,1.0,1.0
49,Infections,Column1,0.0005,0.02383980960655581,1,1.0,1.0
50,Infections,Column2,0.0005,0.03882010419915129,2,1.0,1.0
51,Infections,Column3,0.0005,0.023571903150848797,3,1.0,1.0
52,Infections,Column4,0.7264300044612537,0.9650749220264421,4,1.0,1.0
53,Infections,Column5,0.0005,0.025569988661245963,5,1.0,1.0
54,Infections,Column6,0.05148716007869383,0.30130371467424993,6,1.0,1.0
55,Infections,Column7,0.0005,0.023641900484780997,7,1.0,1.0
56,Infections,Column8,0.0005,0.023478938615690313,8,1.0,1.0
57,Infections,Column9,0.0005,0.07226991341361577,9,1.0,1.0
58,Infections,Column10,0.1368836616888267,0.5274040282881324,10,1.0,1.0
59,Infections,Column11,0.0005,0.2273858280870893,11,1.0,1.0
60,Infections,Column12,0.0005,0.14439518458607126,12,1.0,1.0
61,Infections,Column13,0.0005,0.1953654649863552,13,1.0,1.0
62,Infections,Column14,0.4280796251501801,0.7451010032791552,14,1.0,1.0
63,Infections,Column15,0.0005,0.11778043006492223,15,1.0,1.0
64,Infections,Column16,0.0005,0.0699149393821933,16,1.0,1.0
65,Infections,Column17,0.0005,0.2250327181714289,17,1.0,1.0
66,Infections,Column18,0.01,0.99,18,1.0,1.0
67,Infections,Column19,0.0005,0.99,19,1.0,1.0
68,Infections,Column20,0.0005,0.21406915302878998,20,1.0,1.0
69,Infections,Column21,0.0005,0.7384378126797038,21,1.0,1.0
70,Infections,Column22,0.0005,0.2013968176275104,22,1.0,1.0
71,Infections,Column23,0.0005,0.5110149946182365,23,1.0,1.0
72,Infections,Column24,0.0005,0.25876738825414475,24,1.0,1.0
73,Infections,Column25,0.01,0.99,25,1.0,1.0
74,Infections,Column26,0.0005,0.99,26,1.0,1.0
75,Infections,Column27,0.01,0.99,27,1.0,1.0
76,Infections,Column28,0.0005,0.99,28,1.0,1.0
77,Infections,Column29,0.01,0.99,29,1.0,1.0
78,Infections,Column30,0.0005,0.99,30,1.0,1.0
79,Infections,Column31,0.0005,0.99,31,1.0,1.0
80,Infections,Column32,0.0005,0.99,32,1.0,1.0
81,Infections,Column33,0.01,0.99,33,1.0,1.0
82,Infections,Column34,0.01,0.99,34,1.0,1.0
83,Infections,Column35,0.0005,0.99,35,1.0,1.0
84,Infections,Column36,0.0005,0.99,36,1.0,1.0
85,Infections,Column37,0.01,0.99,37,1.0,1.0
86,Infections,Column38,0.0005,0.99,38,1.0,1.0
87,Infections,Column39,0.01,0.99,39,1.0,1.0
88,Infections,Column40,0.0005,0.99,40,1.0,1.0
89,Infections,Column41,0.01929162038024395,0.99,41,1.0,1.0
90,Infections,Column42,0.01,0.99,42,1.0,1.0
91,Infections,Column43,0.01,0.99,43,1.0,1.0
92,Infections,Column44,0.01,0.99,44,1.0,1.0
93,Infections,Column45,0.0005,0.99,45,1.0,1.0
94,Infections,Column46,0.01,0.99,46,1.0,1.0
95,Infections,Column47,0.01,0.99,47,1.0,1.0
96,Infections,Column48,0.01,0.99,48,1.0,1.0
97,YLL,Column1,0.0005,0.00801161527481417,1,1.0,1.0
98,YLL,Column2,0.0005,0.007807228480321758,2,1.0,1.0
99,YLL,Column3,0.0005,0.007803976703711467,3,1.0,1.0
100,YLL,Column4,0.11983754062281943,0.3014116306897503,4,1.0,1.0
101,YLL,Column5,0.0005,0.007861269998451778,5,1.0,1.0
102,YLL,Column6,0.6993987601882992,0.8934525452438005,6,1.0,1.0
103,YLL,Column7,0.0005,0.023622913375418754,7,1.0,1.0
104,YLL,Column8,0.0005,0.023378190186076037,8,1.0,1.0
105,YLL,Column9,0.0005,0.02399588970073015,9,1.0,1.0
