Column1,Column49,variable,min,max,index,refined_min,refined_max
1,Deaths,Column1,1.36043291524178e-8,0.000752122484636497,1,0.0,0.0
2,Deaths,Column2,3.35808900953436e-11,0.004458281910282,2,0.0,0.0
3,Deaths,Column3,6.53448812222668e-13,0.00252055668618307,3,0.0,0.0
4,Deaths,Column4,0.110919092885264,0.221867972124647,4,0.0,0.0
5,Deaths,Column5,1.36349883197311e-11,0.00231099176471327,5,0.0,0.0
6,Deaths,Column6,0.777939585389988,0.869625293593493,6,0.0,0.0
7,Deaths,Column7,7.58099671809357e-10,0.0203250915098592,7,0.0,0.0
8,Deaths,Column8,7.85621856545935e-14,0.0479674566519849,8,0.0,0.0
9,Deaths,Column9,1.58551697110324e-9,0.00234213724267203,9,0.0,0.0
10,Deaths,Column10,3.40556916040528e-12,0.00661067768552566,10,0.0,0.0
11,Deaths,Column11,9.22268047049254e-12,0.00623856030573418,11,0.0,0.0
12,Deaths,Column12,7.24397128853316e-13,0.00217799351357969,12,0.0,0.0
13,Deaths,Column13,1.45884723551461e-9,0.017584284064078,13,0.0,0.0
14,Deaths,Column14,5.37741392690787e-13,0.0278781343623457,14,0.0,0.0
15,Deaths,Column15,0.334598089613405,0.413462107010962,15,0.0,0.0
16,Deaths,Column16,0.57306985942266,0.642724727070828,16,0.0,0.0
17,Deaths,Column17,4.73908142271083e-8,0.00521280840632183,17,0.0,0.0
18,Deaths,Column18,5.31812697579278e-14,0.00217317994241902,18,0.0,0.0
19,Deaths,Column19,1.95063671020448e-9,0.043517423122941,19,0.0,0.0
20,Deaths,Column20,2.39990142973446e-6,0.137252982937258,20,0.0,0.0
21,Deaths,Column21,5.46763095547943e-11,0.0217657154465223,21,0.0,0.0
22,Deaths,Column22,3.37357128961665e-8,0.0511123202104386,22,0.0,0.0
23,Deaths,Column23,0.861878842776953,0.999995468531931,23,0.0,0.0
24,Deaths,Column24,4.01608648512158e-13,0.00139640235665389,24,0.0,0.0
25,Deaths,Column25,2.02511150024297e-9,0.0719960453284387,25,0.0,0.0
26,Deaths,Column26,2.00297553621498e-10,0.235110552505589,26,0.0,0.0
27,Deaths,Column27,2.77145379400624e-12,0.0521199545070573,27,0.0,0.0
28,Deaths,Column28,2.62597627579871e-9,0.456256005385389,28,0.0,0.0
29,Deaths,Column29,0.260631325915974,0.999999970639254,29,0.0,0.0
30,Deaths,Column30,3.03911491770633e-14,0.0119087982654555,30,0.0,0.0
31,Deaths,Column31,6.98421100609517e-13,0.0240090329996169,31,0.0,0.0
32,Deaths,Column32,1.06481113457098e-12,0.0268433670866027,32,0.0,0.0
