Policy,Params,outcomes,value
left blank,left blank,left blank,-9999.99
Base scenario,Base scenario,Infecitons,0.2735841950394603
Base scenario,Base scenario,YLL,0.013644281319560686
Base scenario,Base scenario,Deaths,0.0007028820201811902
Base scenario,Weak NPI,Infecitons,0.3653755988718702
Base scenario,Weak NPI,YLL,0.020364582840016236
Base scenario,Weak NPI,Deaths,0.0009871320299945129
Base scenario,Strong NPI,Infecitons,0.16646305622956614
Base scenario,Strong NPI,YLL,0.005813039075051835
Base scenario,Strong NPI,Deaths,0.0003337178350618176
Base scenario,High init. infects.,Infecitons,0.390229223276777
Base scenario,High init. infects.,YLL,0.02132097407875306
Base scenario,High init. infects.,Deaths,0.0010799763998702826
Base scenario,High sucept. ages < 20,Infecitons,0.4168044735343163
Base scenario,High sucept. ages < 20,YLL,0.02085878006162569
Base scenario,High sucept. ages < 20,Deaths,0.0009607573914130866
Base scenario,Low V eff. ages > 60,Infecitons,0.2736021183662534
Base scenario,Low V eff. ages > 60,YLL,0.015305237560304295
Base scenario,Low V eff. ages > 60,Deaths,0.0010378045264912514
Base scenario,Low eff,Infecitons,0.391769905709851
Base scenario,Low eff,YLL,0.02145111079468303
Base scenario,Low eff,Deaths,0.0011834311071364802
Base scenario,Schools open,Infecitons,0.3323218782910681
Base scenario,Schools open,YLL,0.017335990239533357
Base scenario,Schools open,Deaths,0.0008268870831416868
Base scenario,Low supply,Infecitons,0.4668062654363923
Base scenario,Low supply,YLL,0.027101099536847167
Base scenario,Low supply,Deaths,0.00150556976380889
Base scenario,High contacts,Infecitons,0.3125835881553205
Base scenario,High contacts,YLL,0.016509171639877727
Base scenario,High contacts,Deaths,0.0008239725212031438
Base scenario,Ramp up,Infecitons,0.36134574912841483
Base scenario,Ramp up,YLL,0.0192925368501708
Base scenario,Ramp up,Deaths,0.0010109599804255947
Weak NPI,Base scenario,Infecitons,0.27499027149172517
Weak NPI,Base scenario,YLL,0.014282185878088651
Weak NPI,Base scenario,Deaths,0.0007225211760812616
Weak NPI,Weak NPI,Infecitons,0.3645572685874404
Weak NPI,Weak NPI,YLL,0.019265877403718924
Weak NPI,Weak NPI,Deaths,0.0009480607471922711
Weak NPI,Strong NPI,Infecitons,0.16778536054042045
Weak NPI,Strong NPI,YLL,0.006991134167128817
Weak NPI,Strong NPI,Deaths,0.0003886316270091961
Weak NPI,High init. infects.,Infecitons,0.3909064529926984
Weak NPI,High init. infects.,YLL,0.020439763961300615
Weak NPI,High init. infects.,Deaths,0.0010490212619303238
Weak NPI,High sucept. ages < 20,Infecitons,0.407207626565468
Weak NPI,High sucept. ages < 20,YLL,0.018744668939340414
Weak NPI,High sucept. ages < 20,Deaths,0.0009076836661099924
Weak NPI,Low V eff. ages > 60,Infecitons,0.2750097955080198
Weak NPI,Low V eff. ages > 60,YLL,0.01878502689474551
Weak NPI,Low V eff. ages > 60,Deaths,0.0011785907087190942
Weak NPI,Low eff,Infecitons,0.39049539454107235
Weak NPI,Low eff,YLL,0.02190158735699869
Weak NPI,Low eff,Deaths,0.0012319923147616051
Weak NPI,Schools open,Infecitons,0.32896694249078484
Weak NPI,Schools open,YLL,0.016658815610913407
Weak NPI,Schools open,Deaths,0.0008177397586476299
Weak NPI,Low supply,Infecitons,0.4683579412421385
Weak NPI,Low supply,YLL,0.026832590417421278
Weak NPI,Low supply,Deaths,0.0014712591274692174
Weak NPI,High contacts,Infecitons,0.31307776628060713
Weak NPI,High contacts,YLL,0.016473414140438427
