"","age","e","size","ess_size","model"
"1",1,0,20438539,0.2,"essential_worker"
"2",2,0,62008742,0.2,"essential_worker"
"3",3,0,72250310.4,0.2,"essential_worker"
"7",3,1,18062577.6,0.2,"essential_worker"
"4",4,0,66253260,0.2,"essential_worker"
"8",4,1,16563315,0.2,"essential_worker"
"5",5,0,53800229,0.2,"essential_worker"
"6",6,0,23262129,0.2,"essential_worker"
"13",1,0,20438539,0.4,"essential_worker"
"21",2,0,62008742,0.4,"essential_worker"
"31",3,0,54187732.8,0.4,"essential_worker"
"71",3,1,36125155.2,0.4,"essential_worker"
"41",4,0,49689945,0.4,"essential_worker"
"81",4,1,33126630,0.4,"essential_worker"
"51",5,0,53800229,0.4,"essential_worker"
"61",6,0,23262129,0.4,"essential_worker"
"14",1,0,20438539,0,"age_only"
"22",2,0,62008742,0,"age_only"
"32",3,0,90312888,0,"age_only"
"42",4,0,82816575,0,"age_only"
"52",5,0,53800229,0,"age_only"
"62",6,0,23262129,0,"age_only"
"72",1,0,20438539,0,"age_only"
"82",2,0,62008742,0,"age_only"
"9",3,0,90312888,0,"age_only"
"10",4,0,82816575,0,"age_only"
"11",5,0,53800229,0,"age_only"
"12",6,0,23262129,0,"age_only"
